zettaicode,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00035487,,7.5,7.0,7.0,6.8,7.3,6.9,7.0,7.2,7.0,7.6,7.2,7.1,7.4,7.4,6.8,7.7,6.9,4.7,7.3,7.6,7.0,7.2,8.0,7.1,6.6,6.8,7.3,7.6,7.3,8.2,,7.3,7.3,7.3,9.4,7.5,8.4,7.6,7.8,8.4,,7.3
00035498,7.3,7.5,7.2,6.7,7.0,7.5,6.8,6.8,6.9,7.4,7.4,7.3,7.2,7.2,7.6,7.2,7.7,6.9,7.2,7.4,7.5,7.5,7.1,7.8,6.3,6.9,7.3,7.7,9.0,8.6,7.5,,8.1,7.9,7.9,8.7,7.9,8.2,8.6,7.3,8.7,,8.0
00035509,6.9,7.3,7.1,7.0,6.8,7.5,6.9,7.2,7.1,7.0,7.1,7.6,8.3,7.1,7.7,6.9,8.3,7.0,7.5,7.1,7.6,7.1,7.1,7.9,7.2,6.4,7.2,6.8,7.3,7.3,7.6,,7.6,7.7,7.2,7.6,8.0,8.0,8.6,7.3,8.5,,7.6
00035512,7.1,7.3,7.4,6.8,6.8,7.1,6.8,7.3,6.7,7.3,7.3,7.2,7.2,7.1,7.5,6.9,7.5,6.9,6.7,7.0,7.8,7.4,7.2,7.7,6.3,5.8,6.9,7.4,6.9,7.0,7.2,,7.5,7.8,6.2,8.2,7.7,8.5,7.8,7.7,8.0,,8.3
00035521,7.3,7.5,6.7,7.2,8.9,7.5,6.8,7.2,7.0,7.7,8.1,7.6,8.2,6.8,7.3,6.5,7.3,6.7,7.6,7.4,7.5,6.7,6.9,7.1,6.8,7.0,7.9,7.8,7.6,7.8,7.0,,7.5,7.6,7.5,7.9,7.5,8.5,7.7,7.3,8.9,,8.2
00035522,6.9,7.2,7.2,6.8,7.3,7.9,6.8,6.8,7.0,7.5,7.9,7.4,7.7,6.8,7.7,7.0,7.4,6.6,7.7,7.0,8.1,7.5,7.0,8.0,6.8,5.8,6.6,7.4,7.2,7.4,7.8,,7.5,7.9,7.3,7.7,8.0,8.2,7.9,7.8,7.9,,7.6
00035542,7.0,7.4,7.2,6.6,7.2,7.5,6.8,6.9,6.5,7.1,7.8,7.4,7.1,6.8,7.6,6.6,7.6,6.9,6.9,7.2,7.7,7.4,6.9,7.1,6.5,7.4,6.4,6.9,7.4,7.0,7.1,,7.7,8.1,7.8,8.1,7.8,8.5,8.7,7.7,7.8,,7.4
00035550,7.2,8.3,7.6,6.4,7.3,7.6,7.7,6.4,7.3,8.8,6.6,7.1,8.7,7.2,7.3,7.0,7.6,6.0,7.1,7.7,7.8,8.0,6.7,7.1,8.0,8.6,7.3,7.2,8.1,7.8,6.9,,7.9,7.8,8.4,8.1,6.7,8.3,7.9,7.9,7.6,,7.3
00035562,7.2,7.4,7.3,6.7,7.0,7.3,7.0,6.7,6.9,7.3,7.8,7.4,7.1,6.8,7.9,7.3,7.5,6.4,7.0,7.3,7.7,7.6,6.8,7.3,6.5,7.5,7.2,6.7,7.5,7.6,7.1,,7.7,7.7,7.8,7.8,7.1,7.9,7.5,7.8,7.5,,7.5
00035565,6.9,7.6,8.5,6.7,7.2,7.1,6.7,7.2,7.5,7.7,8.6,7.6,7.4,6.8,7.6,7.2,7.8,6.7,7.2,6.8,7.7,7.1,6.8,7.2,7.0,8.0,7.4,7.1,7.5,7.8,7.6,,7.2,8.1,8.1,7.5,7.7,8.2,8.1,7.6,7.9,,7.5
